time,PUTs,updates
2016-03-16T09:11:32,1, 1
2016-03-16T09:11:33,1, 0
2016-03-16T09:11:34,1, 0
2016-03-16T09:11:35,1, 0
2016-03-16T09:11:37,1, 0
2016-03-16T09:11:38,1, 0
2016-03-16T09:11:39,1, 0
2016-03-16T09:11:40,1, 0
2016-03-16T09:11:41,1, 0
2016-03-16T09:11:42,1, 0
2016-03-16T09:11:43,1, 0
2016-03-16T09:11:45,1, 0
2016-03-16T09:11:46,1, 0
2016-03-16T09:11:47,1, 0
2016-03-16T09:11:48,1, 0
2016-03-16T09:11:49,1, 0
2016-03-16T09:11:50,1, 0
2016-03-16T09:11:51,1, 0
2016-03-16T09:11:52,1, 0
2016-03-16T09:11:53,1, 0
2016-03-16T09:11:55,1, 0
2016-03-16T09:11:56,1, 0
2016-03-16T09:11:57,1, 0
2016-03-16T09:11:58,1, 0
2016-03-16T09:11:59,1, 0
2016-03-16T09:12:00,1, 0
2016-03-16T09:12:01,1, 0
2016-03-16T09:12:02,1, 0
2016-03-16T09:12:03,1, 0
2016-03-16T09:12:05,1, 0
2016-03-16T09:12:06,1, 0
2016-03-16T09:12:07,1, 0
2016-03-16T09:12:08,1, 0
2016-03-16T09:12:09,1, 0
2016-03-16T09:12:10,1, 0
2016-03-16T09:12:11,1, 0
2016-03-16T09:12:13,1, 0
2016-03-16T09:12:14,1, 0
2016-03-16T09:12:15,1, 0
2016-03-16T09:12:16,1, 0
2016-03-16T09:12:17,1, 0
2016-03-16T09:12:18,1, 0
2016-03-16T09:12:19,1, 0
2016-03-16T09:12:20,1, 0
2016-03-16T09:12:21,1, 0
2016-03-16T09:12:22,1, 0
2016-03-16T09:12:23,1, 0
2016-03-16T09:12:25,1, 0
2016-03-16T09:12:26,1, 0
2016-03-16T09:12:27,1, 0
2016-03-16T09:12:28,1, 0
2016-03-16T09:12:29,1, 0
2016-03-16T09:12:30,1, 0
2016-03-16T09:12:31,1, 0
2016-03-16T09:12:32,1, 0
2016-03-16T09:12:33,1, 0
2016-03-16T09:12:35,1, 0
2016-03-16T09:12:36,1, 0
2016-03-16T09:12:37,1, 0
2016-03-16T09:12:38,1, 0
2016-03-16T09:12:39,1, 0
2016-03-16T09:12:40,1, 0
2016-03-16T09:12:41,1, 0
2016-03-16T09:12:42,1, 0
2016-03-16T09:12:43,1, 0
2016-03-16T09:12:45,1, 0
2016-03-16T09:12:46,1, 0
2016-03-16T09:12:47,1, 0
2016-03-16T09:12:48,1, 0
2016-03-16T09:12:49,1, 0
2016-03-16T09:12:50,1, 0
2016-03-16T09:12:51,1, 0
2016-03-16T09:12:53,1, 0
2016-03-16T09:12:54,1, 0
2016-03-16T09:12:55,1, 0
2016-03-16T09:12:56,1, 0
2016-03-16T09:12:57,1, 0
2016-03-16T09:12:58,1, 0
2016-03-16T09:12:59,1, 0
2016-03-16T09:13:01,1, 0
2016-03-16T09:13:02,1, 0
2016-03-16T09:13:03,1, 0
2016-03-16T09:13:04,1, 0
2016-03-16T09:13:05,1, 0
2016-03-16T09:13:06,1, 0
2016-03-16T09:13:07,1, 0
2016-03-16T09:13:08,1, 0
2016-03-16T09:13:10,1, 0
2016-03-16T09:13:11,1, 0
2016-03-16T09:13:12,1, 0
2016-03-16T09:13:13,1, 0
2016-03-16T09:13:14,1, 0
2016-03-16T09:13:16,1, 0
2016-03-16T09:13:17,1, 0
2016-03-16T09:13:18,1, 0
2016-03-16T09:13:19,1, 0
2016-03-16T09:13:20,1, 0
2016-03-16T09:13:22,1, 0
2016-03-16T09:13:23,1, 0
2016-03-16T09:13:24,1, 0
2016-03-16T09:13:25,1, 0
2016-03-16T09:13:26,1, 0
2016-03-16T09:13:27,1, 0
2016-03-16T09:13:28,1, 0
2016-03-16T09:13:29,1, 0
2016-03-16T09:13:30,1, 0
2016-03-16T09:13:31,1, 0
2016-03-16T09:13:32,1, 0
2016-03-16T09:13:33,1, 0
2016-03-16T09:13:35,1, 0
2016-03-16T09:13:36,1, 0
2016-03-16T09:13:37,1, 0
2016-03-16T09:13:38,1, 0
2016-03-16T09:13:39,1, 0
2016-03-16T09:13:40,1, 0
2016-03-16T09:13:41,1, 0
2016-03-16T09:13:43,1, 0
2016-03-16T09:13:44,1, 0
2016-03-16T09:13:45,1, 0
2016-03-16T09:13:46,1, 0
2016-03-16T09:13:47,1, 0
2016-03-16T09:13:48,1, 0
2016-03-16T09:13:49,1, 0
2016-03-16T09:13:50,1, 0
2016-03-16T09:13:51,1, 0
2016-03-16T09:13:52,1, 0
2016-03-16T09:13:54,1, 0
2016-03-16T09:13:55,1, 0
2016-03-16T09:13:56,1, 0
2016-03-16T09:13:57,1, 0
2016-03-16T09:13:58,1, 0
2016-03-16T09:13:59,1, 0
2016-03-16T09:14:00,1, 0
2016-03-16T09:14:01,1, 0
2016-03-16T09:14:02,1, 0
2016-03-16T09:14:03,1, 0
2016-03-16T09:14:04,1, 0
2016-03-16T09:14:05,1, 0
2016-03-16T09:14:07,1, 0
2016-03-16T09:14:08,1, 0
2016-03-16T09:14:09,1, 0
2016-03-16T09:14:10,1, 0
2016-03-16T09:14:11,1, 0
2016-03-16T09:14:12,1, 0
2016-03-16T09:14:13,1, 0
2016-03-16T09:14:14,1, 0
2016-03-16T09:14:16,1, 0
2016-03-16T09:14:17,1, 0
2016-03-16T09:14:18,1, 0
2016-03-16T09:14:19,1, 0
2016-03-16T09:14:20,1, 0
2016-03-16T09:14:21,1, 0
2016-03-16T09:14:23,1, 0
2016-03-16T09:14:24,1, 0
2016-03-16T09:14:25,1, 0
2016-03-16T09:14:26,1, 0
2016-03-16T09:14:27,1, 0
2016-03-16T09:14:28,1, 0
2016-03-16T09:14:29,1, 0
2016-03-16T09:14:31,1, 0
2016-03-16T09:14:32,1, 0
2016-03-16T09:14:33,1, 0
2016-03-16T09:14:34,1, 0
2016-03-16T09:14:35,1, 0
2016-03-16T09:14:36,1, 0
2016-03-16T09:14:37,1, 0
