PUTs,reboots
2896,35
1156,0
746,9
743,9
676,0
648,1
628,3
618,1
575,18
547,0
528,0
498,18
440,0
439,1
412,10
383,4
360,8
344,7
336,0
316,12
298,10
267,0
256,7
256,8
250,0
250,9
232,6
220,2
213,3
208,3
206,5
205,1
200,2
192,7
187,1
179,4
178,0
173,0
172,8
162,4
152,2
148,1
144,8
144,0
142,3
134,2
132,0
130,2
128,0
128,2
127,8
126,0
121,0
120,1
120,2
118,5
117,3
117,0
115,2
113,1
111,1
110,0
108,1
102,0
102,1
99,0
99,1
97,2
95,1
93,1
91,3
91,1
90,2
90,9
90,1
90,1
89,0
89,2
87,1
86,0
86,1
86,1
86,1
85,2
85,3
83,0
83,1
83,2
82,2
80,0
79,0
78,1
78,2
78,1
77,1
77,0
76,0
74,0
73,2
73,1
72,2
72,0
70,0
70,0
70,0
70,2
69,1
69,0
69,0
69,0
68,0
68,0
67,0
67,0
66,0
66,0
66,0
65,1
65,1
63,0
63,0
62,3
62,0
62,0
62,2
62,1
62,0
61,0
61,0
61,2
61,1
60,0
60,2
60,0
60,1
60,0
60,1
60,0
59,0
59,0
59,2
59,0
59,3
58,3
58,0
57,0
57,0
56,2
56,2
56,1
56,2
56,1
55,0
55,0
55,1
55,0
55,0
54,0
54,0
54,1
54,1
54,0
53,1
53,1
53,0
53,0
52,1
52,0
52,0
52,2
52,0
51,0
51,0
51,0
51,0
51,4
50,2
50,0
49,1
49,2
49,0
49,0
49,3
49,0
49,0
49,1
47,0
47,3
46,0
46,0
45,0
45,0
45,0
45,0
45,1
44,0
44,1
44,0
44,0
44,0
43,0
43,0
43,0
43,0
43,1
43,0
42,0
42,0
42,0
42,0
42,0
41,0
41,0
41,1
41,0
41,0
41,0
41,1
40,0
40,1
40,0
40,0
40,0
39,0
39,0
39,0
39,0
39,0
39,0
39,0
38,0
38,0
38,2
38,0
38,0
38,0
37,0
37,0
37,0
37,0
37,0
37,0
37,0
37,0
37,0
37,0
36,0
36,1
36,0
36,0
36,0
36,0
36,0
35,0
35,1
35,1
35,0
35,0
35,1
35,0
35,0
35,0
34,0
34,1
34,0
34,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,1
32,0
32,0
32,0
32,0
32,0
32,0
32,0
32,1
32,1
32,1
31,0
31,0
31,0
31,0
31,0
31,0
31,0
31,1
30,0
30,0
30,0
30,0
30,0
30,0
29,1
29,0
29,0
29,0
29,1
29,0
28,0
28,0
28,0
28,0
28,0
28,0
28,1
27,0
27,0
27,0
27,0
27,0
27,0
27,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
26,1
26,0
26,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,1
25,0
25,0
25,0
25,0
25,0
25,0
24,0
24,0
24,0
24,0
24,0
24,1
24,0
23,0
23,1
23,0
23,0
23,1
22,0
22,0
22,0
22,0
22,0
22,4
22,0
22,0
22,0
22,0
22,1
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,1
20,0
20,0
20,0
20,0
20,0
20,1
20,0
20,1
20,0
20,0
20,0
19,0
19,0
19,1
19,0
19,0
19,0
19,1
19,0
19,0
19,0
18,0
18,0
18,0
18,0
18,0
18,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
16,0
16,0
16,0
16,0
16,0
16,0
16,1
16,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,1
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,2
11,1
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
9,0
9,0
9,0
9,0
9,1
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
7,0
7,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,1
7,0
7,0
7,1
7,0
7,0
6,0
6,0
6,0
6,0
6,1
6,0
6,1
6,0
6,0
6,0
6,0
6,1
6,0
6,0
6,0
6,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
