IPs,milliseconds
2,206992
3,138097
5,1419808
7,1213782
5,11452966
5,14896374
16,55663120
5,14726017
4,37038942
2,716491
2,3140023
2,2212101
2,2313730
6,28535210
4,1108754
1,128
6,11087311
5,51259363
5,69410511
6,39776719
3,53280
7,1024948
5,2659060
4,53767969
3,10441626
10,29382643
3,52714750
5,30983211
5,26249
16,491112
5,57612
9,212987
5,3337
3,3349
6,46357
7,331411
14,826734
2,22512
4,99698
5,152033
4,759796
8,798415
9,1049582
7,2999211
14,7993441
5,3236418
10,37538425
4,1868268
3,560891
6,2768715
11,15836995
2,166122
2,169741
3,2482286
7,7507269
3,13349214
