IPs,milliseconds,PUTs
6,481813,83
3,1698,5
2,982,3
2,20237,16
3,4214,9
6,36113,77
6,31844,84
5,1878,7
3,1568,5
4,18951,42
5,9138,40
6,27475,115
5,2907,10
4,12373,41
3,1609,5
4,9182,22
3,4501,10
2,1669,2
2,17363,14
10,45673,198
1,44,1
8,2322,20
9,11760,82
11,10689,89
9,1187,13
5,642,5
5,404,5
12,22365,168
11,2482,27
5,656,6
7,835,8
2,135,2
1,4,1
1,127,1
5,932,6
1,141,1
4,1706,7
3,1767,5
2,913,2
12,25865,91
11,2896,32
1,28,1
6,808,7
7,787,7
1,50,1
2,226,2
1,72,1
4,1888,7
3,5200,11
2,1204,3
12,29629,203
8,706,9
2,183,2
7,758,8
3,305,3
1,237,2
5,1597,9
5,753,5
3,1147,4
3,3776,11
2,2151,5
1,549,1
1,3,1
7,13993,23
8,1700,14
7,2419,16
5,949,6
6,1991,11
7,2514,19
5,1437,7
7,13494,68
8,3244,25
8,2875,21
10,16677,138
10,3899,35
8,1516,14
6,425,6
6,1801,12
2,152,2
1,26,1
3,248,3
12,31463,196
10,1086,13
9,983,10
3,466,4
3,144,3
7,1219,10
12,24539,169
10,1200,14
9,1223,12
3,80,3
4,540,4
1,290,2
3,117,3
12,25781,169
2,55,2
6,435,6
5,562,5
4,517,5
5,648,6
3,476,4
5,1575,9
3,1763,6
3,1382,5
1,138,1
8,18259,45
9,1680,17
2,467,2
8,1259,13
8,3577,29
1,26,1
4,483,4
5,1285,7
2,379,3
10,22960,94
11,1731,19
10,2353,21
2,179,2
7,920,8
5,715,5
1,114,1
3,289,3
4,3424,13
1,128,1
2,2016,5
1,464,1
8,17698,36
8,1489,11
2,154,2
2,155,2
6,1342,8
2,132,2
6,17784,100
6,1235,7
7,1495,10
9,10934,92
13,14864,136
12,4752,54
12,9841,115
12,10099,121
12,8842,106
14,29186,365
1,242,1
12,2104,27
11,3420,37
14,32434,377
12,1416,19
12,18866,210
13,2685,36
12,4773,57
1,5,1
14,23182,256
13,6052,81
5,414,5
12,16400,176
14,22271,269
14,49462,633
11,1301,16
14,121729,1600
13,13329,165
14,24157,285
11,808,19
7,646,8
9,1877,20
5,455,6
7,2739,18
5,359,6
14,30844,267
